month,order_intake,order_intake_total,order_intake_building_construction,order_intake_commercial_and_industrial_building_construction,order_intake_public_building_construction,order_intake_civil_engineering,order_intake_commercial_and_industrial_civil_engineering,order_intake_road_construction,order_intake_other_civil_engineering
Januar,167513,77415,37619,24754,15043,90098,47950,14647,27502
Februar,311603,141862,74290,59195,8377,169741,121414,33198,15130
März,...,...,...,...,...,...,...,...,...
April,...,...,...,...,...,...,...,...,...
Mai,...,...,...,...,...,...,...,...,...
Juni,...,...,...,...,...,...,...,...,...
Juli,...,...,...,...,...,...,...,...,...
August,...,...,...,...,...,...,...,...,...
September,...,...,...,...,...,...,...,...,...
Oktober,...,...,...,...,...,...,...,...,...
November,...,...,...,...,...,...,...,...,...
Dezember,...,...,...,...,...,...,...,...,...
